Year,Month,Incident
2009,1,44152
2009,2,45143
2009,3,61613
2009,4,54718
2009,5,57815
2009,6,59204
2009,7,67722
2009,8,67832
2009,9,54221
2009,10,54286
2009,11,59767
2009,12,40974
2010,1,58778
2010,2,46040
2010,3,62478
2010,4,77079
2010,5,68975
2010,6,63829
2010,7,70493
2010,8,73003
2010,9,77277
2010,10,75169
2010,11,62218
2010,12,60305
2011,1,62045
2011,2,52216
2011,3,52257
2011,4,51789
2011,5,52791
2011,6,65141
2011,7,64000
2011,8,56767
2011,9,60178
2011,10,67454
2011,11,48877
2011,12,53508
2012,1,54195
2012,2,36455
2012,3,52838
2012,4,54323
2012,5,54882
2012,6,56860
2012,7,68088
2012,8,53943
2012,9,60488
2012,10,42394
2012,11,48016
2012,12,57077
2013,1,46331
2013,2,39033
2013,3,42412
2013,4,49246
2013,5,43123
2013,6,52732
2013,7,52913
2013,8,53786
2013,9,45749
2013,10,53422
2013,11,57525
2013,12,46193
2014,1,44555
2014,2,39805
2014,3,54179
2014,4,41944
2014,5,61047
2014,6,57027
2014,7,39080
2014,8,52319
2014,9,43669
2014,10,51276
2014,11,49447
2014,12,57147
